appid,name,is_free,price,genres,release_date
942970,Unheard,False,4200.0,인디;RPG;시뮬레이션,2019년 3월 28일
280790,Creativerse,False,26000.0,액션;어드벤처;캐주얼;인디;대규모 멀티플레이어;RPG;시뮬레이션,2017년 5월 8일
7670,BioShock™,False,21000.0,액션;RPG,2007년 8월 21일
209160,Call of Duty®: Ghosts,False,83900.0,액션,2014년 3월 25일
460920,Steep™,False,33000.0,액션;스포츠,2016년 12월 2일
1254120,Bless Unleashed,True,0.0,액션;대규모 멀티플레이어;RPG;무료 플레이,2021년 8월 6일
2186680,"Warhammer 40,000: Rogue Trader",False,53000.0,액션;어드벤처;인디;RPG;전략,2023년 12월 7일
237930,Transistor,False,21500.0,액션;인디;RPG,2014년 5월 20일
55150,"Warhammer 40,000: Space Marine - Anniversary Edition",False,42000.0,액션,2011년 9월 5일
427730,Who's Your Daddy?!,False,11000.0,액션;캐주얼;인디,2016년 5월 13일
268050,The Evil Within,False,23080.0,액션,2014년 10월 13일
1030830,마피아 II  데피니티브 에디션,False,35000.0,액션;어드벤처,2020년 5월 19일
738060,Freddy Fazbear's Pizzeria Simulator,True,0.0,무료 플레이;인디;시뮬레이션,2017년 12월 4일
1049410,Superliminal,False,21500.0,액션;어드벤처,2020년 11월 5일
582500,우리는 여기에 있었다,True,0.0,액션;어드벤처;인디;무료 플레이,2017년 2월 3일
220440,DmC: Devil May Cry,False,36800.0,액션;어드벤처,2013년 1월 24일
1190000,Car Mechanic Simulator 2021,False,27000.0,레이싱;시뮬레이션,2021년 8월 11일
569480,Kingdoms and Castles,False,10500.0,인디;시뮬레이션;전략,2017년 7월 20일
368500,어쌔신 크리드 신디케이트,False,44000.0,액션;어드벤처,2015년 11월 18일
337320,Paint the Town Red,False,21500.0,액션;인디,2021년 7월 29일
1284410,GWENT: The Witcher Card Game,True,0.0,RPG;전략;무료 플레이,2020년 5월 19일
488790,South Park™: The Fractured But Whole™,False,34000.0,RPG,2017년 10월 16일
12110,Grand Theft Auto: Vice City,False,,액션,2008년 1월 4일
444640,Bloons TD Battles,True,0.0,액션;전략;무료 플레이,2016년 4월 20일
373420,Divinity: Original Sin - Enhanced Edition,False,43000.0,어드벤처;인디;RPG;전략,2015년 10월 27일
1262580,Need for Speed™ Payback,False,8910.0,액션;어드벤처;레이싱;스포츠;전략,2020년 6월 18일
460790,Bayonetta,False,19800.0,액션;어드벤처,2017년 4월 11일
278360,A Story About My Uncle,False,17000.0,어드벤처;캐주얼;인디,2014년 5월 28일
601430,The Evil Within 2,False,44500.0,액션;어드벤처,2017년 10월 12일
287290,BIOHAZARD REVELATIONS 2,False,24800.0,액션;어드벤처,2015년 2월 24일
975370,Dwarf Fortress,False,31000.0,인디;시뮬레이션;전략,2022년 12월 6일
794260,Outward Definitive Edition,False,40600.0,RPG,2022년 5월 17일
47810,Dragon Age: Origins - Ultimate Edition,False,3300.0,RPG,2010년 10월 26일
292730,Call of Duty®: Infinite Warfare,False,83900.0,액션;어드벤처,2016년 11월 3일
24010,Train Simulator Classic,False,32000.0,시뮬레이션,2015년 9월 17일
474960,Quantum Break,False,43000.0,액션,2016년 9월 29일
238010,Deus Ex: Human Revolution - Director's Cut,False,21990.0,액션;RPG,2013년 10월 25일
585420,Trailmakers,False,5200.0,액션;어드벤처;인디;레이싱;시뮬레이션,2019년 9월 18일
39140,FINAL FANTASY VII,False,,RPG,
475550,Beholder,False,15500.0,어드벤처;인디;전략,2016년 11월 9일
41070,Serious Sam 3: BFE,False,3200.0,액션;인디,2011년 11월 22일
335240,Transformice,True,0.0,무료 플레이;인디;대규모 멀티플레이어,2015년 1월 30일
17470,Dead Space (2008),False,8800.0,액션;어드벤처,2009년 1월 9일
324800,Shadow Warrior 2,False,3200.0,액션;어드벤처,2016년 10월 13일
459820,Crush Crush,True,0.0,캐주얼;인디;무료 플레이,2016년 10월 18일
492720,Tropico 6,False,47200.0,시뮬레이션;전략,2019년 3월 29일
238090,Sniper Elite 3,False,4160.0,액션;어드벤처,2014년 6월 27일
1211020,Wobbly Life,False,17550.0,액션;어드벤처;캐주얼;인디;시뮬레이션,2025년 9월 18일
744900,Dead Frontier 2,True,0.0,액션;인디;대규모 멀티플레이어;RPG;무료 플레이,2019년 7월 15일
304240,biohazard HD REMASTER,False,24800.0,액션;어드벤처,2015년 1월 19일
1408720,Krunker,False,,액션;캐주얼,2021년 2월 1일
204300,Awesomenauts,False,21500.0,액션;인디;전략,2012년 8월 1일
1520470,Soul Dossier,True,0.0,액션;어드벤처;대규모 멀티플레이어;RPG;전략;무료 플레이,2021년 3월 29일
409720,바이오쇼크 2 리마스터,False,21000.0,액션;RPG,2016년 9월 15일
391720,Layers of Fear (2016),False,21000.0,어드벤처;인디,2016년 2월 15일
767560,War Robots,True,0.0,액션;무료 플레이,2018년 4월 4일
464920,Surviving Mars,False,,시뮬레이션;전략,2018년 3월 15일
80,Counter-Strike: Condition Zero,False,10500.0,액션,2004년 3월 1일
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,False,17300.0,RPG,2009년 6월 16일
249130,LEGO® Marvel™ Super Heroes,False,21000.0,액션;어드벤처,2013년 11월 15일
1262350,SIGNALIS,False,20500.0,액션;어드벤처;인디,2022년 10월 27일
233130,Shadow Warrior,False,3200.0,액션;어드벤처,2013년 9월 26일
699130,World War Z,False,18500.0,액션,2021년 9월 21일
209170,Call of Duty®: Ghosts,False,83900.0,액션,2014년 3월 25일
314160,Microsoft Flight Simulator X: Steam Edition,False,27000.0,시뮬레이션,2014년 12월 18일
50,Half-Life: Opposing Force,False,5600.0,액션,1999년 11월 1일
302830,BLOCKADE 3D,True,0.0,액션;무료 플레이;앞서 해보기,2014년 12월 19일
383150,Dead Island Definitive Edition,False,20300.0,액션,2016년 5월 31일
355840,Survarium,False,,액션;무료 플레이;대규모 멀티플레이어;RPG;앞서 해보기,2015년 4월 2일
34030,Total War: NAPOLEON – Definitive Edition,False,25000.0,전략,2010년 2월 25일
1343400,RuneScape ®,True,0.0,대규모 멀티플레이어;RPG;무료 플레이,2020년 10월 14일
63380,Sniper Elite V2,False,,액션,
247080,Crypt of the NecroDancer,False,3300.0,액션;인디;RPG,2015년 4월 23일
365450,Hacknet,False,11000.0,인디;시뮬레이션,2015년 8월 12일
7940,Call of Duty® 4: Modern Warfare® (2007),False,27900.0,액션,2007년 11월 12일
447020,Farming Simulator 17,False,14800.0,시뮬레이션,2016년 10월 24일
42680,Call of Duty®: Modern Warfare® 3 (2011),False,55900.0,액션,2011년 11월 7일
2280,DOOM + DOOM II,False,11420.0,액션,2007년 8월 3일
34330,토탈워: 쇼군2,False,30000.0,전략,2011년 3월 15일
993090,Lossless Scaling,False,7800.0,유틸리티,2018년 12월 28일
583950,Artifact,True,0.0,전략,2018년 11월 28일
736220,Squad 44,False,21500.0,액션;인디;대규모 멀티플레이어;전략,2018년 8월 9일
291650,Pillars of Eternity,False,43000.0,RPG,2015년 3월 26일
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,False,11000.0,RPG,2012년 8월 23일
1263850,Football Manager 2021,False,,시뮬레이션;스포츠,2020년 11월 24일
392160,X4: Foundations,False,53000.0,액션;시뮬레이션;전략,2018년 11월 30일
316010,Magic Duels,False,,무료 플레이;전략,2015년 7월 29일
99900,Spiral Knights,True,0.0,액션;어드벤처;캐주얼;인디;대규모 멀티플레이어;RPG;무료 플레이,2011년 6월 14일
211500,RaceRoom Racing Experience,True,0.0,레이싱;시뮬레이션;스포츠;무료 플레이,2013년 2월 12일
11020,TrackMania Nations Forever,True,0.0,레이싱,2008년 4월 16일
434650,Lost Castle / 失落城堡,False,10500.0,액션;어드벤처;인디;RPG,2016년 8월 31일
519860,DUSK,False,21500.0,액션;인디,2018년 12월 10일
1372880,The Day Before,False,,액션;어드벤처;대규모 멀티플레이어;앞서 해보기,2023년 12월 7일
1599600,플레이트업!,False,6450.0,액션;캐주얼;인디;전략,2022년 8월 4일
239160,Thief,False,21990.0,액션;어드벤처,2014년 2월 27일
323850,Move or Die,False,16000.0,액션;인디,2016년 1월 21일
788100,Neon Abyss,False,5120.0,액션;어드벤처;인디;RPG,2020년 7월 14일
48190,Assassin’s Creed® Brotherhood,False,16500.0,액션;어드벤처,2011년 3월 17일
979690,The Ascent,False,35000.0,액션;어드벤처;인디;RPG,2021년 7월 29일
297000,Heroes® of Might & Magic® III - HD Edition,False,16500.0,RPG;전략,2015년 1월 28일
816020,JUMP FORCE,False,,액션,2019년 2월 14일
841370,NBA 2K19,False,,시뮬레이션;스포츠,2018년 9월 10일
300,Day of Defeat: Source,False,11000.0,액션,2010년 7월 12일
1094520,部落与弯刀 Sands of Salzaar,False,6200.0,어드벤처;인디;RPG;전략,2021년 12월 15일
65980,Sid Meier's Civilization®: Beyond Earth™,False,10750.0,전략,2014년 10월 23일
285190,"Warhammer 40,000: Dawn of War III",False,43000.0,액션;시뮬레이션;전략,2017년 4월 27일
858820,Tribes of Midgard,False,5250.0,액션;어드벤처;인디;RPG,2021년 7월 27일
783770,Ironsight,False,,액션;무료 플레이,2019년 6월 19일
246900,Viscera Cleanup Detail,False,14500.0,인디;시뮬레이션,2015년 10월 23일
1029690,Sniper Elite 5,False,10200.0,액션;어드벤처,2022년 5월 25일
38400,Fallout: A Post Nuclear Role Playing Game,False,10500.0,RPG,2015년 11월 1일
392110,ENDLESS Space™ 2,False,43000.0,전략,2017년 5월 18일
837470,Untitled Goose Game,False,21500.0,액션;인디,2020년 9월 23일
33930,Arma 2: Operation Arrowhead,False,3980.0,액션;시뮬레이션;전략,2010년 6월 29일
368230,Kingdom: Classic,True,0.0,인디;시뮬레이션;전략,2015년 10월 21일
447820,Day of Infamy,False,15500.0,액션;인디;전략,2017년 3월 23일
1286680,타이니 티나의 원더랜드,False,65000.0,액션;어드벤처;RPG,2022년 6월 23일
15100,Assassin's Creed™: Director's Cut Edition,False,11000.0,액션;어드벤처,2008년 4월 9일
368260,마블 미드나잇 선즈,False,67800.0,RPG;전략,2022년 12월 1일
236110,Dungeon Defenders II,True,0.0,액션;인디;RPG;전략;무료 플레이,2017년 6월 20일
431730,Aseprite,False,21000.0,애니메이션과 모델링;디자인과 일러스트레이션;게임 개발,2016년 2월 22일
1929610,Demonologist,False,21500.0,액션;어드벤처;인디,2023년 9월 25일
673950,Farm Together,False,21500.0,캐주얼;인디;시뮬레이션,2018년 10월 11일
1476970,IdleOn - 더 아이들 MMO,True,0.0,어드벤처;캐주얼;인디;대규모 멀티플레이어;RPG;시뮬레이션;전략;무료 플레이,2025년 11월 6일
374040,Portal Knights,False,3150.0,액션;어드벤처;RPG,2017년 5월 18일
35720,Trine 2: Complete Story,False,21000.0,액션;어드벤처;인디,2013년 6월 6일
1284210,Guild Wars 2®,True,0.0,어드벤처;대규모 멀티플레이어;RPG;무료 플레이,2022년 8월 23일
1569040,Football Manager 2022,False,,시뮬레이션;스포츠,2021년 11월 9일
630,Alien Swarm,True,0.0,액션;무료 플레이,2010년 7월 19일
527430,"Warhammer 40,000: Inquisitor - Martyr",False,53000.0,액션;어드벤처;인디;RPG,2018년 6월 5일
24200,DC Universe™ Online,True,0.0,액션;어드벤처;대규모 멀티플레이어;RPG;무료 플레이,2011년 11월 2일
212500,The Lord of the Rings Online™,True,0.0,액션;어드벤처;대규모 멀티플레이어;RPG;무료 플레이,2012년 6월 6일
323470,DRAGON BALL XENOVERSE,False,39800.0,액션,2015년 2월 26일
509980,BIGFOOT,False,21500.0,액션;어드벤처;인디;앞서 해보기,2017년 1월 31일
1388770,Cruelty Squad,False,2050.0,액션;인디;시뮬레이션,2021년 6월 15일
996580,Spyro™ Reignited Trilogy,False,55900.0,액션;어드벤처,2019년 9월 3일
9480,Saints Row 2,False,10200.0,액션,2009년 1월 7일
1307550,Craftopia,False,27000.0,액션;어드벤처;인디;RPG;앞서 해보기,2020년 9월 4일
372000,Tree of Savior (English Ver.),True,0.0,대규모 멀티플레이어;RPG;무료 플레이,2016년 3월 28일
9900,Star Trek Online,True,0.0,대규모 멀티플레이어;RPG;무료 플레이,2012년 1월 31일
1089090,원피스 해적무쌍 4,False,49800.0,액션,2023년 9월 14일
47870,Need For Speed: Hot Pursuit,False,,레이싱,2010년 12월 14일
10680,Aliens vs. Predator™,False,16000.0,액션,2010년 2월 16일
606150,Moonlighter,False,20500.0,액션;어드벤처;인디,2018년 5월 29일
235600,톰 클랜시의 스플린터 셀: 블랙리스트,False,22400.0,액션;어드벤처,2013년 9월 4일
67370,The Darkness II,False,32000.0,액션,2012년 2월 9일
1904540,Football Manager 2023,False,,시뮬레이션;스포츠,2022년 11월 8일
1044720,Farthest Frontier,False,37500.0,인디;시뮬레이션;전략,2025년 10월 23일
201790,Orcs Must Die! 2,False,15500.0,액션;어드벤처;인디;RPG;전략,2012년 7월 30일
262410,World of Guns: Gun Disassembly,True,0.0,캐주얼;인디;시뮬레이션;무료 플레이,2014년 5월 21일
251060,Wargame: Red Dragon,False,32900.0,인디;시뮬레이션;전략,2014년 4월 17일
265550,Dead Rising 3 Apocalypse Edition,False,36800.0,액션,2014년 9월 5일
225260,Brutal Legend,False,16000.0,액션;어드벤처;전략,2013년 2월 26일
560130,Pillars of Eternity II: Deadfire,False,42020.0,RPG,2018년 5월 8일
130,Half-Life: Blue Shift,False,5600.0,액션,2001년 6월 1일
1016920,Unrailed!,False,24000.0,액션;캐주얼;인디,2020년 9월 23일
1475810,Ghostwire: Tokyo,False,67000.0,액션,2022년 3월 24일
289130,ENDLESS Legend™,False,31000.0,RPG;전략,2014년 9월 18일
893520,Creative Destruction,False,,액션;어드벤처;캐주얼;대규모 멀티플레이어,2018년 8월 2일
736590,Operation: Harsh Doorstop,True,0.0,액션;캐주얼;인디;시뮬레이션;전략;무료 플레이;앞서 해보기,2023년 2월 15일
1343370,Old School RuneScape,True,0.0,어드벤처;대규모 멀티플레이어;RPG;무료 플레이,2021년 2월 24일
224540,Ace of Spades: Battle Builder,False,,액션;인디,
312990,The Expendabros,True,0.0,액션;어드벤처;인디;무료 플레이,2014년 8월 5일
388410,Darksiders II Deathinitive Edition,False,4500.0,액션;어드벤처;RPG,2015년 11월 5일
65800,Dungeon Defenders,False,16500.0,액션;인디;RPG;전략,2011년 10월 18일
780310,The Riftbreaker,False,9600.0,액션;어드벤처;인디;RPG;시뮬레이션;전략,2021년 10월 14일
34870,Sniper: Ghost Warrior 2,False,11000.0,액션,2013년 3월 11일
918570,Century: Age of Ashes,True,0.0,액션;인디;레이싱;무료 플레이,2021년 12월 2일
506540,Last Man Standing,False,,액션;어드벤처;무료 플레이;인디;대규모 멀티플레이어;전략,2017년 3월 29일
2680010,퍼스트 버서커: 카잔,False,64800.0,액션;어드벤처;RPG,2025년 3월 27일
424280,Iron Snout,True,0.0,액션;인디;무료 플레이,2016년 1월 27일
42710,Call of Duty®: Black Ops,False,55900.0,액션,2010년 11월 8일
775500,스칼렛 스트링스,False,10370.0,액션;어드벤처;RPG,2021년 6월 24일
202170,Sleeping Dogs,False,,액션;어드벤처,
232890,Stronghold Crusader 2,False,41000.0,시뮬레이션;전략,2014년 9월 22일
250400,How to Survive,False,4000.0,액션;어드벤처;RPG,2014년 8월 29일
228200,Company of Heroes,False,21500.0,액션;전략,2006년 9월 11일
2622000,Astral Party,True,0.0,캐주얼;인디;RPG;전략,2024년 2월 28일
19900,Far Cry® 2,False,11000.0,액션,2008년 10월 22일
248570,Toribash,True,0.0,액션;인디;전략;무료 플레이,2014년 5월 16일
706990,BLOCKPOST LEGACY,True,0.0,액션;인디;무료 플레이,2019년 4월 25일
391460,WARMODE,True,0.0,액션;무료 플레이,2019년 9월 13일
233720,Surgeon Simulator,False,11000.0,액션;인디;시뮬레이션,2013년 4월 19일
355180,Codename CURE,True,0.0,액션;무료 플레이,2017년 10월 31일
17460,Mass Effect (2007),False,4950.0,액션;RPG,2008년 12월 19일
228280,Baldur's Gate: Enhanced Edition,False,21500.0,어드벤처;RPG,2013년 1월 16일
239350,Spelunky,False,16000.0,인디,2013년 8월 8일
1637320,Dome Keeper 돔 키퍼,False,19500.0,액션;어드벤처;인디;시뮬레이션,2022년 9월 27일
4760,Rome: Total War™ - Collection,False,,전략,2007년 8월 28일
270150,RUNNING WITH RIFLES,False,16000.0,액션;인디,2015년 4월 2일
544730,Catan Universe,True,0.0,캐주얼;전략,2017년 4월 25일
280,Half-Life: Source,False,11000.0,액션,2004년 6월 1일
6000,STAR WARS™ Republic Commando™,False,11000.0,액션,2009년 7월 8일
204880,Sins of a Solar Empire®: Rebellion,False,21000.0,액션;인디;시뮬레이션;전략,2012년 6월 12일
1277400,몬스터헌터 스토리즈 2 파멸의 날개,False,49800.0,어드벤처;RPG,2021년 7월 8일
462780,Darksiders Warmastered Edition,False,3000.0,액션;어드벤처;RPG,2016년 11월 29일
